year,trans_type,ttwa_cd,theta
2012,Rent,E30000093,2.043
2012,Rent,E30000108,1.107
2012,Rent,E30000124,0.9
2012,Rent,E30000135,1.12
2012,Rent,E30000159,1.037
2012,Rent,E30000160,1.109
2012,Rent,E30000162,0.718
2012,Rent,E30000164,1.333
2012,Rent,E30000165,0.957
2012,Rent,E30000166,1.112
2012,Rent,E30000167,1.044
2012,Rent,E30000168,1.76
2012,Rent,E30000169,1.143
2012,Rent,E30000170,1.17
2012,Rent,E30000171,1.604
2012,Rent,E30000173,0.874
2012,Rent,E30000174,0.906
2012,Rent,E30000175,1.11
2012,Rent,E30000179,0.951
2012,Rent,E30000180,0.871
2012,Rent,E30000182,1.775
2012,Rent,E30000183,0.878
2012,Rent,E30000184,0.941
2012,Rent,E30000186,1.077
2012,Rent,E30000187,1.033
2012,Rent,E30000188,1.173
2012,Rent,E30000189,0.727
2012,Rent,E30000190,1.136
2012,Rent,E30000191,0.844
2012,Rent,E30000192,1.306
2012,Rent,E30000193,1.375
2012,Rent,E30000195,1.059
2012,Rent,E30000196,0.796
2012,Rent,E30000197,0.917
2012,Rent,E30000198,1.746
2012,Rent,E30000199,1.297
2012,Rent,E30000200,1.056
2012,Rent,E30000201,0.89
2012,Rent,E30000202,1.255
2012,Rent,E30000203,1.212
2012,Rent,E30000204,1.002
2012,Rent,E30000205,0.916
2012,Rent,E30000206,0.776
2012,Rent,E30000208,1.166
2012,Rent,E30000209,0.694
2012,Rent,E30000210,1.739
2012,Rent,E30000211,1.932
2012,Rent,E30000212,1.037
2012,Rent,E30000215,1.757
2012,Rent,E30000216,1.017
2012,Rent,E30000218,0.88
2012,Rent,E30000219,1.456
2012,Rent,E30000220,1.192
2012,Rent,E30000221,0.919
2012,Rent,E30000222,1.281
2012,Rent,E30000224,0.953
2012,Rent,E30000225,1.319
2012,Rent,E30000226,0.748
2012,Rent,E30000228,1.059
2012,Rent,E30000229,0.971
2012,Rent,E30000230,1.029
2012,Rent,E30000231,1.405
2012,Rent,E30000233,1.31
2012,Rent,E30000234,0.692
2012,Rent,E30000237,1.102
2012,Rent,E30000239,1.167
2012,Rent,E30000240,1.319
2012,Rent,E30000241,0.951
2012,Rent,E30000242,1.274
2012,Rent,E30000243,1.339
2012,Rent,E30000244,1.353
2012,Rent,E30000245,0.839
2012,Rent,E30000247,1.069
2012,Rent,E30000248,1.575
2012,Rent,E30000249,1.203
2012,Rent,E30000250,1.027
2012,Rent,E30000253,1.102
2012,Rent,E30000254,1.043
2012,Rent,E30000255,1.374
2012,Rent,E30000256,0.909
2012,Rent,E30000257,1.175
2012,Rent,E30000260,1.6
2012,Rent,E30000261,1.304
2012,Rent,E30000262,1.336
2012,Rent,E30000264,2.461
2012,Rent,E30000266,0.949
2012,Rent,E30000267,0.699
2012,Rent,E30000268,1.311
2012,Rent,E30000271,1.479
2012,Rent,E30000272,1.09
2012,Rent,E30000273,1.242
2012,Rent,E30000275,1.748
2012,Rent,E30000276,1.059
2012,Rent,E30000278,1.202
2012,Rent,E30000279,1.215
2012,Rent,E30000280,1.054
2012,Rent,E30000281,0.823
2012,Rent,E30000283,1.367
2012,Rent,E30000284,1.305
2012,Rent,E30000285,0.745
2012,Rent,E30000287,1.295
2012,Rent,E30000288,1.225
2012,Rent,E30000289,1.328
2012,Rent,E30000291,1.217
2012,Rent,E30000292,0.99
2012,Rent,E30000294,1.03
2012,Rent,K01000005,0.982
2012,Rent,K01000011,1.51
2012,Rent,K01000013,1.125
2012,Rent,S22000047,0.979
2012,Rent,S22000051,1.834
2012,Rent,S22000054,1.458
2012,Rent,S22000055,1.819
2012,Rent,S22000056,1.848
2012,Rent,S22000057,1.325
2012,Rent,S22000059,0.752
2012,Rent,S22000060,1.756
2012,Rent,S22000061,1.461
2012,Rent,S22000063,2.074
2012,Rent,S22000065,1.357
2012,Rent,S22000068,1.471
2012,Rent,S22000069,2.048
2012,Rent,S22000070,1.275
2012,Rent,S22000071,1.684
2012,Rent,S22000074,1.07
2012,Rent,S22000085,1.529
2012,Rent,W22000003,1.045
2012,Rent,W22000009,0.988
2012,Rent,W22000015,1.139
2012,Rent,W22000021,1.662
2012,Rent,W22000022,1.168
2012,Rent,W22000024,0.904
2012,Rent,W22000026,1.59
2012,Rent,W22000028,0.892
2012,Rent,W22000029,1.577
2012,Rent,W22000031,2.196
2012,Rent,W22000032,0.809
2012,Rent,W22000034,1.648
2012,Sale,E30000004,1.367
2012,Sale,E30000018,1.344
2012,Sale,E30000029,1.443
2012,Sale,E30000046,1.352
2012,Sale,E30000054,1.244
2012,Sale,E30000061,1.071
2012,Sale,E30000070,1.359
2012,Sale,E30000076,1.233
2012,Sale,E30000093,1.12
2012,Sale,E30000108,0.988
2012,Sale,E30000124,1.801
2012,Sale,E30000135,1.587
2012,Sale,E30000159,1.349
2012,Sale,E30000160,1.378
2012,Sale,E30000162,1.819
2012,Sale,E30000164,1.66
2012,Sale,E30000165,1.686
2012,Sale,E30000166,1.247
2012,Sale,E30000167,2.159
2012,Sale,E30000168,1.063
2012,Sale,E30000169,1.734
2012,Sale,E30000170,0.769
2012,Sale,E30000171,1.285
2012,Sale,E30000173,0.993
2012,Sale,E30000174,1.246
2012,Sale,E30000175,1.596
2012,Sale,E30000179,1.885
2012,Sale,E30000180,1.366
2012,Sale,E30000182,1.038
2012,Sale,E30000183,1.581
2012,Sale,E30000184,1.409
2012,Sale,E30000186,1.359
2012,Sale,E30000187,1.039
2012,Sale,E30000188,1.285
2012,Sale,E30000189,1.411
2012,Sale,E30000190,1.397
2012,Sale,E30000191,1.272
2012,Sale,E30000192,1.061
2012,Sale,E30000193,1.43
2012,Sale,E30000195,1.551
2012,Sale,E30000196,1.338
2012,Sale,E30000197,1.516
2012,Sale,E30000198,2.651
2012,Sale,E30000199,1.157
2012,Sale,E30000200,1.638
2012,Sale,E30000201,0.976
2012,Sale,E30000202,1.492
2012,Sale,E30000203,0.937
2012,Sale,E30000204,1.174
2012,Sale,E30000205,1.266
2012,Sale,E30000206,1.496
2012,Sale,E30000208,1.131
2012,Sale,E30000209,1.054
2012,Sale,E30000210,1.853
2012,Sale,E30000211,1.343
2012,Sale,E30000212,1.348
2012,Sale,E30000215,0.728
2012,Sale,E30000216,1.82
2012,Sale,E30000218,1.308
2012,Sale,E30000219,1.4
2012,Sale,E30000220,1.078
2012,Sale,E30000221,1.083
2012,Sale,E30000222,1.475
2012,Sale,E30000224,1.05
2012,Sale,E30000225,2.207
2012,Sale,E30000226,1.148
2012,Sale,E30000228,1.845
2012,Sale,E30000229,1.442
2012,Sale,E30000230,1.351
2012,Sale,E30000231,1.627
2012,Sale,E30000233,1.041
2012,Sale,E30000234,1.826
2012,Sale,E30000237,1.262
2012,Sale,E30000239,1.345
2012,Sale,E30000240,1.071
2012,Sale,E30000241,1.218
2012,Sale,E30000242,1.184
2012,Sale,E30000243,1.471
2012,Sale,E30000244,1.789
2012,Sale,E30000245,0.957
2012,Sale,E30000247,1.239
2012,Sale,E30000248,1.94
2012,Sale,E30000249,1.64
2012,Sale,E30000250,1.592
2012,Sale,E30000253,1.352
2012,Sale,E30000254,1.529
2012,Sale,E30000255,0.959
2012,Sale,E30000256,1.643
2012,Sale,E30000257,2.076
2012,Sale,E30000260,1.114
2012,Sale,E30000261,1.263
2012,Sale,E30000262,1.844
2012,Sale,E30000264,2.497
2012,Sale,E30000266,1.752
2012,Sale,E30000267,1.334
2012,Sale,E30000268,1.228
2012,Sale,E30000271,1.368
2012,Sale,E30000272,1.44
2012,Sale,E30000273,1.19
2012,Sale,E30000275,0.9
2012,Sale,E30000276,1.438
2012,Sale,E30000278,1.466
2012,Sale,E30000279,1.662
2012,Sale,E30000280,1.624
2012,Sale,E30000281,1.226
2012,Sale,E30000283,1.242
2012,Sale,E30000284,1.052
2012,Sale,E30000285,1.057
2012,Sale,E30000287,1.685
2012,Sale,E30000288,1.271
2012,Sale,E30000289,1.898
2012,Sale,E30000291,1.263
2012,Sale,E30000292,1.191
2012,Sale,E30000294,1.622
2012,Sale,K01000005,1.473
2012,Sale,K01000011,1.626
2012,Sale,K01000013,1.262
2012,Sale,S22000035,0.335
2012,Sale,S22000047,0.886
2012,Sale,S22000051,1.568
2012,Sale,S22000054,1.908
2012,Sale,S22000055,1.885
2012,Sale,S22000056,1.768
2012,Sale,S22000057,1.416
2012,Sale,S22000059,1.345
2012,Sale,S22000060,1.543
2012,Sale,S22000061,1.898
2012,Sale,S22000063,1.848
2012,Sale,S22000065,2.649
2012,Sale,S22000068,1.853
2012,Sale,S22000069,2.188
2012,Sale,S22000070,1.613
2012,Sale,S22000071,1.839
2012,Sale,S22000074,1.329
2012,Sale,S22000085,1.633
2012,Sale,W22000003,0.845
2012,Sale,W22000009,1.358
2012,Sale,W22000015,1.783
2012,Sale,W22000021,1.73
