unit_cd,unit_nm,year,tenure,beta,se,flow
E30000029,Halifax,2023,Sale,-1.522,0.153,8535
E30000046,Dorchester and Weymouth,2023,Sale,-1.375,0.166,14007
E30000054,Grantham,2023,Sale,-1.125,0.152,6048
E30000061,Hastings,2023,Sale,-0.831,0.146,5100
E30000070,Isle of Wight,2023,Sale,-0.901,0.144,3106
E30000076,Lancaster and Morecambe,2023,Sale,-1.298,0.188,4939
E30000093,Middlesbrough and Stockton,2023,Sale,-1.817,0.184,7450
E30000108,Peterborough,2023,Sale,-1.419,0.155,11333
E30000124,Spalding,2023,Sale,-1.016,0.161,3679
E30000135,Thetford and Mildenhall,2023,Sale,-0.972,0.176,6491
E30000159,Andover,2023,Sale,-1.192,0.148,6631
E30000160,Ashford,2023,Sale,-1.07,0.145,5785
E30000162,Barnstaple,2023,Sale,-1.163,0.153,2442
E30000163,Barrow-in-Furness,2023,Sale,-1.813,0.199,6675
E30000164,Basingstoke,2023,Sale,-1.056,0.138,16604
E30000165,Bath,2023,Sale,-1.316,0.164,10892
E30000166,Bedford,2023,Sale,-1.185,0.144,11305
E30000167,Bideford,2023,Sale,-1.112,0.173,2722
E30000168,Birkenhead,2023,Sale,-1.501,0.18,8114
E30000169,Birmingham,2023,Sale,-1.426,0.15,65688
E30000170,Blackburn,2023,Sale,-1.606,0.163,10077
E30000171,Blackpool,2023,Sale,-1.444,0.146,9001
E30000173,Blyth and Ashington,2023,Sale,-1.686,0.171,8420
E30000174,Boston,2023,Sale,-0.371,0.235,7626
E30000175,Bournemouth,2023,Sale,-0.967,0.158,14075
E30000179,Brighton,2023,Sale,-0.951,0.136,17449
E30000180,Bristol,2023,Sale,-1.259,0.168,34341
E30000182,Burnley,2023,Sale,-1.458,0.162,3988
E30000183,Burton upon Trent,2023,Sale,-1.08,0.166,9924
E30000184,Bury St Edmunds,2023,Sale,-1.152,0.146,8126
E30000186,Cambridge,2023,Sale,-1.188,0.133,39315
E30000187,Canterbury,2023,Sale,-0.961,0.145,6677
E30000188,Chelmsford,2023,Sale,-1.121,0.132,25764
E30000189,Cheltenham,2023,Sale,-1.313,0.163,8224
E30000190,Chesterfield,2023,Sale,-1.187,0.184,7114
E30000191,Chichester and Bognor Regis,2023,Sale,-0.957,0.132,9270
E30000192,Clacton,2023,Sale,-0.95,0.148,5410
E30000193,Colchester,2023,Sale,-0.902,0.148,9688
E30000195,Coventry,2023,Sale,-1.163,0.138,23885
E30000196,Crawley,2023,Sale,-1.207,0.108,38045
E30000197,Crewe,2023,Sale,-1.402,0.179,19657
E30000198,Cromer and Sheringham,2023,Sale,-1.049,0.183,5083
E30000199,Darlington,2023,Sale,-1.645,0.192,3109
E30000200,Derby,2023,Sale,-1.25,0.16,17673
E30000201,Doncaster,2023,Sale,-1.578,0.163,7744
E30000202,Dudley,2023,Sale,-1.4,0.173,29474
E30000203,Durham and Bishop Auckland,2023,Sale,-1.844,0.174,11969
E30000204,Eastbourne,2023,Sale,-0.815,0.121,11734
E30000205,Evesham,2023,Sale,-1.257,0.175,6164
E30000206,Exeter,2023,Sale,-1.208,0.144,13783
E30000208,Folkestone and Dover,2023,Sale,-0.719,0.149,3844
E30000209,Gloucester,2023,Sale,-1.176,0.175,11605
E30000210,Great Yarmouth,2023,Sale,-1.422,0.175,2975
E30000211,Grimsby,2023,Sale,-1.222,0.171,1882
E30000212,Guildford and Aldershot,2023,Sale,-1.019,0.117,38028
E30000214,Harrogate,2023,Sale,-1.679,0.145,18791
E30000215,Hartlepool,2023,Sale,-1.453,0.202,1581
E30000216,Hereford,2023,Sale,-1.24,0.18,6385
E30000218,High Wycombe and Aylesbury,2023,Sale,-1.004,0.125,32624
E30000219,Huddersfield,2023,Sale,-1.573,0.144,16565
E30000220,Hull,2023,Sale,-1.337,0.17,9042
E30000221,Huntingdon,2023,Sale,-1.177,0.159,7682
E30000222,Ipswich,2023,Sale,-1.126,0.145,14068
E30000224,Kettering and Wellingborough,2023,Sale,-0.945,0.138,11857
E30000225,King's Lynn,2023,Sale,-1.354,0.149,5396
E30000226,Kingsbridge and Dartmouth,2023,Sale,-1.374,0.178,4584
E30000228,Leamington Spa,2023,Sale,-1.055,0.151,17093
E30000229,Leeds,2023,Sale,-1.885,0.15,34545
E30000230,Leicester,2023,Sale,-1.302,0.149,29868
E30000231,Lincoln,2023,Sale,-1.296,0.146,13453
E30000233,Liverpool,2023,Sale,-1.788,0.16,20871
E30000234,London,2023,Sale,-1.327,0.116,464502
E30000237,Luton,2023,Sale,-1.044,0.116,52968
E30000239,Manchester,2023,Sale,-1.621,0.159,92243
E30000240,Mansfield,2023,Sale,-1.544,0.161,10604
E30000241,Margate and Ramsgate,2023,Sale,-0.763,0.125,6194
E30000242,Medway,2023,Sale,-0.887,0.1,22616
E30000243,Milton Keynes,2023,Sale,-0.868,0.14,19675
E30000244,Newbury,2023,Sale,-1.122,0.146,13101
E30000245,Newcastle,2023,Sale,-1.876,0.185,16832
E30000247,Northampton,2023,Sale,-0.99,0.139,18179
E30000248,Norwich,2023,Sale,-1.114,0.168,13206
E30000249,Nottingham,2023,Sale,-1.287,0.158,29337
E30000250,Oxford,2023,Sale,-0.978,0.131,34536
E30000253,Plymouth,2023,Sale,-1.212,0.186,6558
E30000254,Portsmouth,2023,Sale,-0.984,0.126,20744
E30000255,Preston,2023,Sale,-1.698,0.181,12291
E30000256,Reading,2023,Sale,-1.168,0.13,33442
E30000257,Redruth and Truro,2023,Sale,-1.361,0.196,10592
E30000260,Scunthorpe,2023,Sale,-1.4,0.189,4048
E30000261,Sheffield,2023,Sale,-1.422,0.149,23361
E30000262,Shrewsbury,2023,Sale,-1.477,0.168,12078
E30000264,Skegness and Louth,2023,Sale,-1.429,0.15,4151
E30000266,Slough and Heathrow,2023,Sale,-1.417,0.123,135891
E30000267,Southampton,2023,Sale,-1.086,0.127,25230
E30000268,Southend,2023,Sale,-0.778,0.127,21351
E30000271,Stafford,2023,Sale,-0.963,0.181,5400
E30000272,Stevenage and Welwyn Garden City,2023,Sale,-1.177,0.137,19879
E30000273,Stoke-on-Trent,2023,Sale,-1.283,0.155,10440
E30000275,Sunderland,2023,Sale,-1.6,0.209,6677
E30000276,Swindon,2023,Sale,-1.335,0.138,14009
E30000278,Telford,2023,Sale,-1.357,0.172,4894
E30000279,Torquay and Paignton,2023,Sale,-1.172,0.151,4307
