unit_cd,unit_nm,year,market,index,value
S22000051,Ayr,2012,Rent,enq,3457.0
S22000054,Dumbarton and Helensburgh,2012,Rent,enq,3105.0
S22000055,Dumfries,2012,Rent,enq,1411.0
S22000056,Dundee,2012,Rent,enq,2957.0
S22000057,Dunfermline and Kirkcaldy,2012,Rent,enq,6267.0
S22000059,Edinburgh,2012,Rent,enq,8881.0
S22000060,Elgin,2012,Rent,enq,501.0
S22000061,Falkirk and Stirling,2012,Rent,enq,6174.0
S22000063,Galashiels and Peebles,2012,Rent,enq,1651.0
S22000065,Glasgow,2012,Rent,enq,29232.0
S22000068,Inverness,2012,Rent,enq,1505.0
S22000069,Kilmarnock and Irvine,2012,Rent,enq,8648.0
S22000070,Livingston,2012,Rent,enq,3284.0
S22000071,Motherwell and Airdrie,2012,Rent,enq,15238.0
S22000074,Perth,2012,Rent,enq,1244.0
S22000085,Greenock,2012,Rent,enq,1800.0
W22000003,Bridgend,2012,Rent,enq,2086.0
W22000009,Haverfordwest and Milford Haven,2012,Rent,enq,1292.0
W22000015,Newtown and Welshpool,2012,Rent,enq,1825.0
W22000021,Aberystwyth,2012,Rent,enq,857.0
W22000022,Bangor and Holyhead,2012,Rent,enq,2570.0
W22000024,Cardiff,2012,Rent,enq,25652.0
W22000026,Colwyn Bay,2012,Rent,enq,3451.0
W22000028,Llanelli,2012,Rent,enq,1459.0
W22000029,Merthyr Tydfil,2012,Rent,enq,2492.0
W22000031,Rhyl,2012,Rent,enq,3396.0
W22000032,Swansea,2012,Rent,enq,4661.0
W22000034,Wrexham,2012,Rent,enq,4211.0
E30000004,Barnsley,2013,Rent,enq,7779.0
E30000018,Bradford,2013,Rent,enq,14305.0
E30000029,Halifax,2013,Rent,enq,6857.0
E30000046,Dorchester and Weymouth,2013,Rent,enq,11072.0
E30000054,Grantham,2013,Rent,enq,4598.0
E30000061,Hastings,2013,Rent,enq,5567.0
E30000070,Isle of Wight,2013,Rent,enq,3469.0
E30000076,Lancaster and Morecambe,2013,Rent,enq,5488.0
E30000093,Middlesbrough and Stockton,2013,Rent,enq,18288.0
E30000108,Peterborough,2013,Rent,enq,8754.0
E30000124,Spalding,2013,Rent,enq,2784.0
E30000135,Thetford and Mildenhall,2013,Rent,enq,4210.0
E30000159,Andover,2013,Rent,enq,3054.0
E30000160,Ashford,2013,Rent,enq,4752.0
E30000162,Barnstaple,2013,Rent,enq,1877.0
E30000163,Barrow-in-Furness,2013,Rent,enq,4678.0
E30000164,Basingstoke,2013,Rent,enq,11120.0
E30000165,Bath,2013,Rent,enq,9328.0
E30000166,Bedford,2013,Rent,enq,7144.0
E30000167,Bideford,2013,Rent,enq,1411.0
E30000168,Birkenhead,2013,Rent,enq,13989.0
E30000169,Birmingham,2013,Rent,enq,59053.0
E30000170,Blackburn,2013,Rent,enq,9337.0
E30000171,Blackpool,2013,Rent,enq,12892.0
E30000173,Blyth and Ashington,2013,Rent,enq,5404.0
E30000174,Boston,2013,Rent,enq,1846.0
E30000175,Bournemouth,2013,Rent,enq,28880.0
E30000179,Brighton,2013,Rent,enq,21538.0
E30000180,Bristol,2013,Rent,enq,33566.0
E30000182,Burnley,2013,Rent,enq,5181.0
E30000183,Burton upon Trent,2013,Rent,enq,6100.0
